name,team,bye_week,position,adp,name_normalized,match_key,year,fantasy_points,games_played
Myles Gaskin ,FA,0.0,RB,200.0,myles gaskin,mylesgaskin,2022,9.4,4.0
Robbie Gould,FA,0.0,K,201.3,robbie gould,robbiegould,2022,134.0,16.0
Zamir White,LV,6.0,RB,201.3,zamir white,zamirwhite,2022,6.6,13.0
Odell Beckham Jr.,FA,0.0,WR,202.0,odell beckham,odellbeckham,2022,-1.0,-1.0
Joshua Palmer,BUF,7.0,WR,202.3,joshua palmer,joshuapalmer,2022,159.4,15.0
Jameson Williams,DET,6.0,WR,202.7,jameson williams,jamesonwilliams,2022,15.1,5.0
Chris Boswell,PIT,9.0,K,202.7,chris boswell,chrisboswell,2022,88.0,11.0
Matt Breida,FA,0.0,RB,205.0,matt breida,mattbreida,2022,48.8,16.0
Hayden Hurst,FA,0.0,TE,206.0,hayden hurst,haydenhurst,2022,100.0,12.0
Las Vegas Raiders,DST,6.0,DST,207.0,las vegas raiders,lasvegasraiders,2022,76.0,-1.0
Austin Seibert,FA,0.0,K,208.0,austin seibert,austinseibert,2022,23.0,3.0
Logan Thomas,FA,0.0,TE,208.3,logan thomas,loganthomas,2022,73.7,13.0
Carson Wentz,FA,0.0,QB,208.3,carson wentz,carsonwentz,2022,112.8,8.0
Robbie Chosen,FA,0.0,WR,208.5,robbie chosen,robbiechosen,2022,-1.0,-1.0
Austin Hooper,NE,10.0,TE,209.0,austin hooper,austinhooper,2022,89.6,16.0
Jalen Tolbert,DAL,9.0,WR,210.3,jalen tolbert,jalentolbert,2022,3.2,8.0
Kenny Golladay,FA,0.0,WR,210.5,kenny golladay,kennygolladay,2022,9.1,11.0
Alec Pierce,IND,14.0,WR,211.3,alec pierce,alecpierce,2022,105.1,15.0
Tyrion Davis-Price,TEN,6.0,RB,211.5,tyrion davis price,tyriondavisprice,2022,7.2,5.0
Corey Davis,FA,0.0,WR,211.5,corey davis,coreydavis,2022,94.9,12.0
Parris Campbell,DAL,9.0,WR,212.0,parris campbell,parriscampbell,2022,136.3,16.0
A.J. Green,FA,0.0,WR,212.0,aj green,ajgreen,2022,43.5,14.0
Wil Lutz,DEN,9.0,K,212.3,wil lutz,willutz,2022,113.0,16.0
Marvin Jones Jr.,FA,0.0,WR,212.3,marvin jones,marvinjones,2022,112.0,15.0
Nico Collins,HU,6.0,WR,213.8,nico collins,nicocollins,2022,97.1,10.0
Daniel Jones,IND,14.0,QB,213.8,daniel jones,danieljones,2022,289.0,16.0
Rodrigo Blankenship,FA,0.0,K,214.5,rodrigo blankenship,rodrigoblankenship,2022,19.0,3.0
Graham Gano,NYG,9.0,K,214.5,graham gano,grahamgano,2022,141.0,16.0
Jared Goff,DET,6.0,QB,214.8,jared goff,jaredgoff,2022,273.4,16.0
C.J. Uzomah,FA,0.0,TE,215.0,cj uzomah,cjuzomah,2022,56.2,15.0
Jerick McKinnon,FA,0.0,RB,216.3,jerick mckinnon,jerickmckinnon,2022,187.7,16.0
Taysom Hill,NO,14.0,TE,216.5,taysom hill,taysomhill,2022,124.6,15.0
Sammy Watkins,FA,0.0,WR,217.0,sammy watkins,sammywatkins,2022,38.6,11.0
Dustin Hopkins,CLE,9.0,K,217.0,dustin hopkins,dustinhopkins,2022,40.0,5.0
Van Jefferson,TEN,6.0,WR,217.3,van jefferson,vanjefferson,2022,69.8,10.0
Jake Elliott,PHI,7.0,K,218.0,jake elliott,jakeelliott,2022,102.0,15.0
D'Onta Foreman,FA,0.0,RB,219.0,donta foreman,dontaforeman,2022,124.2,16.0
Jordan Mason,MIN,7.0,RB,220.0,jordan mason,jordanmason,2022,29.0,15.0
Cincinnati Bengals,DST,10.0,DST,220.5,cincinnati bengals,cincinnatibengals,2022,96.0,-1.0
Isaiah Likely,BAL,10.0,TE,221.0,isaiah likely,isaiahlikely,2022,73.0,15.0
Kenyan Drake,FA,0.0,RB,221.3,kenyan drake,kenyandrake,2022,88.2,11.0
Tennessee Titans,DST,6.0,DST,222.0,tennessee titans,tennesseetitans,2022,100.0,-1.0
Brevin Jordan,HOU,6.0,TE,223.0,brevin jordan,brevinjordan,2022,26.8,10.0
Minnesota Vikings,DST,7.0,DST,224.0,minnesota vikings,minnesotavikings,2022,97.0,-1.0
Randall Cobb,FA,0.0,WR,224.5,randall cobb,randallcobb,2022,78.6,12.0
Wan'Dale Robinson,NYG,9.0,WR,224.7,wandale robinson,wandalerobinson,2022,51.6,6.0
Eno Benjamin,FA,0.0,RB,225.0,eno benjamin,enobenjamin,2022,89.3,14.0
Kenny Pickett,CLE,9.0,QB,225.3,kenny pickett,kennypickett,2022,136.0,12.0
Dontrell Hilliard ,FA,0.0,RB,226.0,dontrell hilliard,dontrellhilliard,2022,77.2,12.0
K.J. Osborn,WAS,14.0,WR,226.7,kj osborn,kjosborn,2022,138.9,16.0
KJ Hamler,BUF,7.0,WR,229.0,kj hamler,kjhamler,2022,25.8,7.0
Cairo Santos,CHI,14.0,K,230.0,cairo santos,cairosantos,2022,103.0,15.0
Ke'Shawn Vaughn,FA,0.0,RB,230.0,keshawn vaughn,keshawnvaughn,2022,4.8,14.0
