"Name","Team","POS","PTS","PTS/G","GP","CMP","YDS","TD","INT","ATT","YDS","TD","FUM","TGT","REC","YDS","TD"
"Andre Baccellia","ARI","WR","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0"
"Kirk Merritt","NO","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Dan Chisena","ARI","WR","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Kristian Wilkerson","LV","WR","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Chris Blair","ATL","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Hunter Long","LAR","TE","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"Tre' McKitty","LAC","TE","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0"
"Matt Bushman","KC","TE","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Amari Rodgers","IND","WR","0","0","3","0","0","0","0","0","0","0","0","2","0","0","0"
"Dez Fitzpatrick","PIT","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Frank Darby","ATL","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Jaelon Darden","CLE","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Tylan Wallace","BAL","WR","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0"
"DJ Turner","LV","WR","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0"
"Hunter Kampmoyer","LAC","TE","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Jacob Harris","JAX","WR","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Josh Pederson","JAX","TE","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Bandy","DEN","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Parker Hesse","ATL","TE","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Kearis Jackson","TEN","WR","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"SaRodorick Thompson Jr.","SEA","RB","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Mohamed Ibrahim","DET","RB","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Julius Chestnut","TEN","RB","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Devon Allen","PHI","WR","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Montrell Washington","KC","WR","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0"
"John FitzPatrick","ATL","TE","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0"
"Nick Muse","MIN","TE","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Dareke Young","SEA","WR","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0"
"Tay Martin","SF","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Rodney Williams","PIT","TE","0","0","12","0","0","0","0","0","0","0","0","2","0","0","0"
"Tanner Conner","MIA","TE","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Malik Davis","DAL","RB","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Irvin Charles","NYJ","WR","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0"
"Ethan Fernea","IND","WR","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Brayden Willis","SF","TE","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0"
"Max Duggan","LAC","QB","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Malik Cunningham","NE","QB","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Mims","NO","RB","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Mitchell Tinsley","WAS","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Blake Whiteheart","ARI","TE","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Deneric Prince","KC","RB","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Kenny McIntosh","SEA","RB","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Travis Vokolek","ARI","TE","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Ryan Miller","TB","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Chase Cota","HOU","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Princeton Fant","DAL","TE","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
